2023-09-13 at 16:55:48 | INFO | Creating the Mismatch Database
2023-09-13 at 16:55:54 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/32/7cc3f553289e7e4d2dc775004d1ad5/usutu-virus--64286/work/mismatch.db
2023-09-13 at 16:55:54 | INFO | Read in MSA: 64286_final	seqs:47	cols:14746
2023-09-13 at 16:56:08 | INFO | 64286_final: digested to 386 FKmers and 496 RKmers
2023-09-13 at 16:56:10 | INFO | 64286_final: Generated 2415 possible amplicons
2023-09-13 at 16:56:10 | INFO | Added first amplicon for 64286_final: 99	1122	1
2023-09-13 at 16:56:10 | INFO | Added overlapping amplicon for 64286_final: 786	1645	2
2023-09-13 at 16:56:10 | INFO | Added overlapping amplicon for 64286_final: 1178	2123	1
2023-09-13 at 16:56:10 | INFO | Added walking amplicon for 64286_final: 2728	3557	1
2023-09-13 at 16:56:10 | INFO | Added overlapping amplicon for 64286_final: 3394	4411	2
2023-09-13 at 16:56:10 | INFO | Added overlapping amplicon for 64286_final: 4096	4939	1
2023-09-13 at 16:56:10 | INFO | Added walking amplicon for 64286_final: 5139	6128	2
2023-09-13 at 16:56:10 | INFO | Added walking amplicon for 64286_final: 9258	10252	2
2023-09-13 at 16:56:10 | INFO | Added overlapping amplicon for 64286_final: 10071	11071	1
2023-09-13 at 16:56:10 | INFO | Added overlapping amplicon for 64286_final: 10692	11545	2
2023-09-13 at 16:56:10 | INFO | Writting output files
