2023-09-13 at 16:50:00 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:01 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/e0/d64f8b35ac68783a4079a39b1d8d5a/west-nile-virus-strain-385-99--307044/work/mismatch.db
2023-09-13 at 16:50:01 | INFO | Read in MSA: 307044_final	seqs:5	cols:11029
2023-09-13 at 16:50:03 | INFO | 307044_final: digested to 5017 FKmers and 5193 RKmers
2023-09-13 at 16:51:11 | INFO | 307044_final: Generated 434155 possible amplicons
2023-09-13 at 16:51:11 | INFO | Added first amplicon for 307044_final: 0	1022	1
2023-09-13 at 16:51:11 | INFO | Added overlapping amplicon for 307044_final: 879	1905	2
2023-09-13 at 16:51:11 | INFO | Added overlapping amplicon for 307044_final: 1736	2763	1
2023-09-13 at 16:51:11 | INFO | Added overlapping amplicon for 307044_final: 2609	3630	2
2023-09-13 at 16:51:11 | INFO | Added overlapping amplicon for 307044_final: 3486	4511	1
2023-09-13 at 16:51:11 | INFO | Added overlapping amplicon for 307044_final: 4357	5389	2
2023-09-13 at 16:51:11 | INFO | Added overlapping amplicon for 307044_final: 5216	6240	1
2023-09-13 at 16:51:12 | INFO | Added overlapping amplicon for 307044_final: 6080	7110	2
2023-09-13 at 16:51:12 | INFO | Added overlapping amplicon for 307044_final: 6938	7965	1
2023-09-13 at 16:51:12 | INFO | Added overlapping amplicon for 307044_final: 7808	8809	2
2023-09-13 at 16:51:12 | INFO | Added overlapping amplicon for 307044_final: 8653	9670	1
2023-09-13 at 16:51:12 | INFO | Added overlapping amplicon for 307044_final: 9500	10521	2
2023-09-13 at 16:51:12 | INFO | Added overlapping amplicon for 307044_final: 9953	10975	1
2023-09-13 at 16:51:12 | INFO | Writting output files
