2023-09-13 at 16:43:03 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:04 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/a4/ea83ab6e3c5fae60fe4b73b2c438f9/yaounde-virus--64319/work/mismatch.db
2023-09-13 at 16:43:04 | INFO | Read in MSA: 64319_final	seqs:1	cols:10293
2023-09-13 at 16:43:07 | INFO | 64319_final: digested to 5243 FKmers and 5431 RKmers
2023-09-13 at 16:44:51 | INFO | 64319_final: Generated 510723 possible amplicons
2023-09-13 at 16:44:51 | INFO | Added first amplicon for 64319_final: 1	1025	1
2023-09-13 at 16:44:51 | INFO | Added overlapping amplicon for 64319_final: 876	1895	2
2023-09-13 at 16:44:51 | INFO | Added overlapping amplicon for 64319_final: 1707	2729	1
2023-09-13 at 16:44:51 | INFO | Added overlapping amplicon for 64319_final: 2570	3595	2
2023-09-13 at 16:44:51 | INFO | Added overlapping amplicon for 64319_final: 3442	4465	1
2023-09-13 at 16:44:51 | INFO | Added overlapping amplicon for 64319_final: 4314	5333	2
2023-09-13 at 16:44:52 | INFO | Added overlapping amplicon for 64319_final: 5189	6209	1
2023-09-13 at 16:44:52 | INFO | Added overlapping amplicon for 64319_final: 6047	7073	2
2023-09-13 at 16:44:52 | INFO | Added overlapping amplicon for 64319_final: 6910	7935	1
2023-09-13 at 16:44:52 | INFO | Added overlapping amplicon for 64319_final: 7785	8806	2
2023-09-13 at 16:44:52 | INFO | Added overlapping amplicon for 64319_final: 8644	9668	1
2023-09-13 at 16:44:52 | INFO | Added overlapping amplicon for 64319_final: 9277	10291	2
2023-09-13 at 16:44:52 | INFO | Writting output files
