2023-09-13 at 16:52:25 | INFO | Creating the Mismatch Database
2023-09-13 at 16:52:30 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/a2/7c5f9f64237dd31229f346b6d95c83/zika-virus--64320/work/mismatch.db
2023-09-13 at 16:52:30 | INFO | Read in MSA: 64320_final	seqs:33	cols:12092
2023-09-13 at 16:52:43 | INFO | 64320_final: digested to 461 FKmers and 468 RKmers
2023-09-13 at 16:52:46 | INFO | 64320_final: Generated 3254 possible amplicons
2023-09-13 at 16:52:46 | INFO | Added first amplicon for 64320_final: 157	1024	1
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 64320_final: 556	1526	2
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 64320_final: 1354	2354	1
2023-09-13 at 16:52:46 | INFO | Added walking amplicon for 64320_final: 2403	3413	2
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 64320_final: 3087	3950	1
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 64320_final: 3743	4762	2
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 64320_final: 4439	5453	1
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 64320_final: 5118	6136	2
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 64320_final: 5952	6923	1
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 64320_final: 6711	7555	2
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 64320_final: 7241	8267	1
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 64320_final: 8052	9055	2
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 64320_final: 8523	9483	1
2023-09-13 at 16:52:50 | INFO | Added walking amplicon for 64320_final: 9912	10787	2
2023-09-13 at 16:52:51 | INFO | Added overlapping amplicon for 64320_final: 10367	11247	1
2023-09-13 at 16:52:51 | INFO | Added overlapping amplicon for 64320_final: 10991	11993	2
2023-09-13 at 16:52:51 | INFO | Writting output files
