2023-09-13 at 16:43:05 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:06 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/81/666114b2ea5124c9a0aecaecd1a3ff/psorophora-flavivirus--2751814/work/mismatch.db
2023-09-13 at 16:43:06 | INFO | Read in MSA: 2751814_final	seqs:1	cols:10831
2023-09-13 at 16:43:08 | INFO | 2751814_final: digested to 4349 FKmers and 4743 RKmers
2023-09-13 at 16:44:14 | INFO | 2751814_final: Generated 336481 possible amplicons
2023-09-13 at 16:44:14 | INFO | Added first amplicon for 2751814_final: 0	1026	1
2023-09-13 at 16:44:14 | INFO | Added overlapping amplicon for 2751814_final: 878	1900	2
2023-09-13 at 16:44:14 | INFO | Added overlapping amplicon for 2751814_final: 1751	2777	1
2023-09-13 at 16:44:14 | INFO | Added overlapping amplicon for 2751814_final: 2628	3638	2
2023-09-13 at 16:44:14 | INFO | Added overlapping amplicon for 2751814_final: 3483	4502	1
2023-09-13 at 16:44:14 | INFO | Added overlapping amplicon for 2751814_final: 4349	5368	2
2023-09-13 at 16:44:14 | INFO | Added overlapping amplicon for 2751814_final: 5204	6226	1
2023-09-13 at 16:44:15 | INFO | Added overlapping amplicon for 2751814_final: 6048	7073	2
2023-09-13 at 16:44:15 | INFO | Added overlapping amplicon for 2751814_final: 6880	7901	1
2023-09-13 at 16:44:15 | INFO | Added overlapping amplicon for 2751814_final: 7759	8780	2
2023-09-13 at 16:44:15 | INFO | Added overlapping amplicon for 2751814_final: 8630	9652	1
2023-09-13 at 16:44:15 | INFO | Added overlapping amplicon for 2751814_final: 9500	10514	2
2023-09-13 at 16:44:15 | INFO | Added overlapping amplicon for 2751814_final: 9775	10787	1
2023-09-13 at 16:44:15 | INFO | Writting output files
