2023-09-13 at 16:46:54 | INFO | Creating the Mismatch Database
2023-09-13 at 16:46:54 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/b9/487bf146422db12d3fb5ec85597251/sitiawan-virus--93923/work/mismatch.db
2023-09-13 at 16:46:54 | INFO | Read in MSA: 93923_final	seqs:1	cols:10278
2023-09-13 at 16:46:55 | INFO | 93923_final: digested to 5408 FKmers and 5734 RKmers
2023-09-13 at 16:48:27 | INFO | 93923_final: Generated 553720 possible amplicons
2023-09-13 at 16:48:27 | INFO | Added first amplicon for 93923_final: 11	1036	1
2023-09-13 at 16:48:27 | INFO | Added overlapping amplicon for 93923_final: 872	1891	2
2023-09-13 at 16:48:27 | INFO | Added overlapping amplicon for 93923_final: 1740	2771	1
2023-09-13 at 16:48:27 | INFO | Added overlapping amplicon for 93923_final: 2595	3616	2
2023-09-13 at 16:48:27 | INFO | Added overlapping amplicon for 93923_final: 3455	4477	1
2023-09-13 at 16:48:27 | INFO | Added overlapping amplicon for 93923_final: 4330	5356	2
2023-09-13 at 16:48:27 | INFO | Added overlapping amplicon for 93923_final: 5198	6223	1
2023-09-13 at 16:48:28 | INFO | Added overlapping amplicon for 93923_final: 6071	7085	2
2023-09-13 at 16:48:28 | INFO | Added overlapping amplicon for 93923_final: 6939	7961	1
2023-09-13 at 16:48:28 | INFO | Added overlapping amplicon for 93923_final: 7811	8835	2
2023-09-13 at 16:48:28 | INFO | Added overlapping amplicon for 93923_final: 8673	9696	1
2023-09-13 at 16:48:28 | INFO | Added overlapping amplicon for 93923_final: 9254	10274	2
2023-09-13 at 16:48:28 | INFO | Writting output files
