2023-09-13 at 16:43:03 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:04 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/58/5b28c54c25cb86b61b7e0ef9ccef76/sokoluk-virus--64317/work/mismatch.db
2023-09-13 at 16:43:04 | INFO | Read in MSA: 64317_final	seqs:1	cols:10242
2023-09-13 at 16:43:06 | INFO | 64317_final: digested to 4689 FKmers and 4893 RKmers
2023-09-13 at 16:44:22 | INFO | 64317_final: Generated 408343 possible amplicons
2023-09-13 at 16:44:22 | INFO | Added first amplicon for 64317_final: 8	1028	1
2023-09-13 at 16:44:22 | INFO | Added overlapping amplicon for 64317_final: 870	1894	2
2023-09-13 at 16:44:22 | INFO | Added overlapping amplicon for 64317_final: 1744	2767	1
2023-09-13 at 16:44:23 | INFO | Added overlapping amplicon for 64317_final: 2585	3611	2
2023-09-13 at 16:44:23 | INFO | Added overlapping amplicon for 64317_final: 3445	4466	1
2023-09-13 at 16:44:23 | INFO | Added overlapping amplicon for 64317_final: 4318	5341	2
2023-09-13 at 16:44:23 | INFO | Added overlapping amplicon for 64317_final: 5189	6207	1
2023-09-13 at 16:44:23 | INFO | Added overlapping amplicon for 64317_final: 6048	7071	2
2023-09-13 at 16:44:23 | INFO | Added overlapping amplicon for 64317_final: 6909	7936	1
2023-09-13 at 16:44:23 | INFO | Added overlapping amplicon for 64317_final: 7780	8783	2
2023-09-13 at 16:44:23 | INFO | Added overlapping amplicon for 64317_final: 8638	9660	1
2023-09-13 at 16:44:23 | INFO | Added overlapping amplicon for 64317_final: 9213	10217	2
2023-09-13 at 16:44:23 | INFO | Writting output files
