2023-09-13 at 16:43:15 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:16 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/17/6695dadd61b04a1d6b73d2bd80dd54/spanish-goat-encephalitis-virus--1691889/work/mismatch.db
2023-09-13 at 16:43:16 | INFO | Read in MSA: 1691889_final	seqs:1	cols:10870
2023-09-13 at 16:43:18 | INFO | 1691889_final: digested to 3903 FKmers and 4077 RKmers
2023-09-13 at 16:44:07 | INFO | 1691889_final: Generated 261940 possible amplicons
2023-09-13 at 16:44:07 | INFO | Added first amplicon for 1691889_final: 10	1019	1
2023-09-13 at 16:44:07 | INFO | Added overlapping amplicon for 1691889_final: 865	1889	2
2023-09-13 at 16:44:07 | INFO | Added overlapping amplicon for 1691889_final: 1732	2755	1
2023-09-13 at 16:44:07 | INFO | Added overlapping amplicon for 1691889_final: 2602	3623	2
2023-09-13 at 16:44:07 | INFO | Added overlapping amplicon for 1691889_final: 3458	4485	1
2023-09-13 at 16:44:07 | INFO | Added overlapping amplicon for 1691889_final: 4321	5343	2
2023-09-13 at 16:44:07 | INFO | Added overlapping amplicon for 1691889_final: 5177	6200	1
2023-09-13 at 16:44:07 | INFO | Added overlapping amplicon for 1691889_final: 6051	7078	2
2023-09-13 at 16:44:07 | INFO | Added overlapping amplicon for 1691889_final: 6923	7946	1
2023-09-13 at 16:44:07 | INFO | Added overlapping amplicon for 1691889_final: 7762	8763	2
2023-09-13 at 16:44:08 | INFO | Added overlapping amplicon for 1691889_final: 8613	9630	1
2023-09-13 at 16:44:08 | INFO | Added overlapping amplicon for 1691889_final: 9480	10499	2
2023-09-13 at 16:44:08 | INFO | Added overlapping amplicon for 1691889_final: 9895	10866	1
2023-09-13 at 16:44:08 | INFO | Writting output files
