2023-09-13 at 16:47:43 | INFO | Creating the Mismatch Database
2023-09-13 at 16:47:43 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/b9/88094f768eb678dfda35915858a80f/spanish-sheep-encephalitis-virus--41408/work/mismatch.db
2023-09-13 at 16:47:43 | INFO | Read in MSA: 41408_final	seqs:1	cols:10245
2023-09-13 at 16:47:44 | INFO | 41408_final: digested to 3677 FKmers and 3948 RKmers
2023-09-13 at 16:48:29 | INFO | 41408_final: Generated 259889 possible amplicons
2023-09-13 at 16:48:29 | INFO | Added first amplicon for 41408_final: 7	1025	1
2023-09-13 at 16:48:29 | INFO | Added overlapping amplicon for 41408_final: 866	1887	2
2023-09-13 at 16:48:29 | INFO | Added overlapping amplicon for 41408_final: 1737	2758	1
2023-09-13 at 16:48:30 | INFO | Added overlapping amplicon for 41408_final: 2613	3637	2
2023-09-13 at 16:48:30 | INFO | Added overlapping amplicon for 41408_final: 3469	4472	1
2023-09-13 at 16:48:30 | INFO | Added overlapping amplicon for 41408_final: 4323	5345	2
2023-09-13 at 16:48:30 | INFO | Added overlapping amplicon for 41408_final: 5197	6222	1
2023-09-13 at 16:48:30 | INFO | Added overlapping amplicon for 41408_final: 6035	7055	2
2023-09-13 at 16:48:30 | INFO | Added overlapping amplicon for 41408_final: 6913	7936	1
2023-09-13 at 16:48:30 | INFO | Added overlapping amplicon for 41408_final: 7749	8765	2
2023-09-13 at 16:48:30 | INFO | Added overlapping amplicon for 41408_final: 8594	9617	1
2023-09-13 at 16:48:30 | INFO | Added overlapping amplicon for 41408_final: 9173	10196	2
2023-09-13 at 16:48:30 | INFO | Writting output files
