2023-09-13 at 16:46:23 | INFO | Creating the Mismatch Database
2023-09-13 at 16:46:23 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/db/848cb73daecae625ad86d58656cd3c/lake-victoria-marburgvirus-leiden--1126254/work/mismatch.db
2023-09-13 at 16:46:23 | INFO | Read in MSA: 1126254_final	seqs:1	cols:19113
2023-09-13 at 16:46:26 | INFO | 1126254_final: digested to 11130 FKmers and 10931 RKmers
2023-09-13 at 16:49:40 | INFO | 1126254_final: Generated 1225152 possible amplicons
2023-09-13 at 16:49:40 | INFO | Added first amplicon for 1126254_final: 95	1120	1
2023-09-13 at 16:49:40 | INFO | Added overlapping amplicon for 1126254_final: 959	1990	2
2023-09-13 at 16:49:40 | INFO | Added overlapping amplicon for 1126254_final: 1803	2833	1
2023-09-13 at 16:49:40 | INFO | Added overlapping amplicon for 1126254_final: 2669	3694	2
2023-09-13 at 16:49:40 | INFO | Added overlapping amplicon for 1126254_final: 3546	4579	1
2023-09-13 at 16:49:41 | INFO | Added overlapping amplicon for 1126254_final: 4415	5440	2
2023-09-13 at 16:49:41 | INFO | Added overlapping amplicon for 1126254_final: 5284	6319	1
2023-09-13 at 16:49:41 | INFO | Added overlapping amplicon for 1126254_final: 6160	7189	2
2023-09-13 at 16:49:41 | INFO | Added overlapping amplicon for 1126254_final: 7037	8069	1
2023-09-13 at 16:49:41 | INFO | Added overlapping amplicon for 1126254_final: 7905	8938	2
2023-09-13 at 16:49:41 | INFO | Added overlapping amplicon for 1126254_final: 8750	9778	1
2023-09-13 at 16:49:41 | INFO | Added overlapping amplicon for 1126254_final: 9618	10646	2
2023-09-13 at 16:49:41 | INFO | Added overlapping amplicon for 1126254_final: 10491	11519	1
2023-09-13 at 16:49:42 | INFO | Added overlapping amplicon for 1126254_final: 11343	12370	2
2023-09-13 at 16:49:42 | INFO | Added overlapping amplicon for 1126254_final: 12218	13240	1
2023-09-13 at 16:49:42 | INFO | Added overlapping amplicon for 1126254_final: 13063	14093	2
2023-09-13 at 16:49:42 | INFO | Added overlapping amplicon for 1126254_final: 13930	14962	1
2023-09-13 at 16:49:42 | INFO | Added overlapping amplicon for 1126254_final: 14801	15824	2
2023-09-13 at 16:49:42 | INFO | Added overlapping amplicon for 1126254_final: 15670	16695	1
2023-09-13 at 16:49:42 | INFO | Added overlapping amplicon for 1126254_final: 16540	17575	2
2023-09-13 at 16:49:43 | INFO | Added overlapping amplicon for 1126254_final: 17417	18444	1
2023-09-13 at 16:49:43 | INFO | Added overlapping amplicon for 1126254_final: 17980	19012	2
2023-09-13 at 16:49:43 | INFO | Writting output files
