2024-02-28 at 17:47:31 | INFO | Creating the Mismatch Database
2024-02-28 at 17:47:38 | INFO | Created: hev-400-0.02/work/mismatch.db
2024-02-28 at 17:47:38 | WARNING | WARNING: Having a '/' in the chromname NC_001434.1/1-7176 will cause issues with figure generation bedfile output. Parsing chromname NC_001434.1/1-7176 -> NC_001434.1
2024-02-28 at 17:47:38 | INFO | Read in MSA: all_genomes.align.mod.ds.ref.align	seqs:325	cols:8427
2024-02-28 at 17:47:53 | DEBUG | FKmer: 18: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 19: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 20: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 21	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 22	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 23	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 24	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 25	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 26	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 27	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 28	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 29	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 30	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 31	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 32	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 33: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 34: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 35: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 36: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 37: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 38: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 39: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 40: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 41: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 42: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 43	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 44: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 45: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 46: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 47: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 48: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 49: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 50: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 51: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 52	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 53	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 54	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 55	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 56	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 57	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 58	GapOnSetBase
2024-02-28 at 17:47:53 | DEBUG | FKmer: 59	GapOnSetBase
2024-02-28 at 17:47:53 | DEBUG | FKmer: 60	GapOnSetBase
2024-02-28 at 17:47:53 | DEBUG | FKmer: 61	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 62	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 63	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 64	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 65	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 66	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 67	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 68	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 69	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 70	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 71	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 72	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 73	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 74	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 75	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 76	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 77	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 78	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 79	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 80	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 81	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 82	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 83	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 84	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 85	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 86	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 87	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 88	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 89	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 90	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 91	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 92	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 93	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 94	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 95	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 96	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 97	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 98	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 99	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 100	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 101	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 102	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 103	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 104	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 105	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 106	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 107	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 108: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 109: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 110: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 111: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 112: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 113: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 114	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 115	HairpinFail
2024-02-28 at 17:47:53 | DEBUG | FKmer: 116	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 117	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 118	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 119	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 120	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 121	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 122	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 123	HighGC
2024-02-28 at 17:47:53 | DEBUG | FKmer: 124: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 125: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 126: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 127: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 128: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 129: AllPass
2024-02-28 at 17:47:53 | DEBUG | FKmer: 130: AllPass
