2023-09-13 at 16:45:09 | INFO | Creating the Mismatch Database
2023-09-13 at 16:45:09 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/26/3b259c9ddca5ba6d8ba94df7025b4a/fushun-flavivirus-2--2905430/work/mismatch.db
2023-09-13 at 16:45:09 | INFO | Read in MSA: 2905430_final	seqs:1	cols:12674
2023-09-13 at 16:45:11 | INFO | 2905430_final: digested to 5425 FKmers and 5587 RKmers
2023-09-13 at 16:46:30 | INFO | 2905430_final: Generated 450526 possible amplicons
2023-09-13 at 16:46:30 | INFO | Added first amplicon for 2905430_final: 1	1026	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 838	1860	2
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 1699	2727	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 2574	3594	2
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 3444	4465	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 4265	5286	2
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 5120	6136	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 5982	7006	2
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 6851	7871	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 7632	8661	2
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 8474	9495	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 2905430_final: 9338	10359	2
2023-09-13 at 16:46:32 | INFO | Added overlapping amplicon for 2905430_final: 10215	11232	1
2023-09-13 at 16:46:32 | INFO | Added overlapping amplicon for 2905430_final: 11060	12077	2
2023-09-13 at 16:46:32 | INFO | Added overlapping amplicon for 2905430_final: 11647	12673	1
2023-09-13 at 16:46:32 | INFO | Writting output files
