2023-09-13 at 16:51:24 | INFO | Creating the Mismatch Database
2023-09-13 at 16:51:25 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/48/8e83cd35594d63ac3042bd0512851f/reston-ebolavirus-reston--129003/work/mismatch.db
2023-09-13 at 16:51:25 | INFO | Read in MSA: 129003_final	seqs:4	cols:18892
2023-09-13 at 16:51:33 | INFO | 129003_final: digested to 8322 FKmers and 8400 RKmers
2023-09-13 at 16:53:22 | INFO | 129003_final: Generated 709357 possible amplicons
2023-09-13 at 16:53:22 | INFO | Added first amplicon for 129003_final: 31	1055	1
2023-09-13 at 16:53:22 | INFO | Added overlapping amplicon for 129003_final: 886	1906	2
2023-09-13 at 16:53:22 | INFO | Added overlapping amplicon for 129003_final: 1720	2726	1
2023-09-13 at 16:53:22 | INFO | Added overlapping amplicon for 129003_final: 2563	3585	2
2023-09-13 at 16:53:22 | INFO | Added overlapping amplicon for 129003_final: 3439	4467	1
2023-09-13 at 16:53:22 | INFO | Added overlapping amplicon for 129003_final: 4304	5305	2
2023-09-13 at 16:53:22 | INFO | Added overlapping amplicon for 129003_final: 5113	6135	1
2023-09-13 at 16:53:23 | INFO | Added overlapping amplicon for 129003_final: 5970	6997	2
2023-09-13 at 16:53:23 | INFO | Added overlapping amplicon for 129003_final: 6768	7794	1
2023-09-13 at 16:53:23 | INFO | Added overlapping amplicon for 129003_final: 7580	8587	2
2023-09-13 at 16:53:23 | INFO | Added overlapping amplicon for 129003_final: 8374	9407	1
2023-09-13 at 16:53:23 | INFO | Added overlapping amplicon for 129003_final: 9206	10230	2
2023-09-13 at 16:53:23 | INFO | Added overlapping amplicon for 129003_final: 10018	11041	1
2023-09-13 at 16:53:23 | INFO | Added overlapping amplicon for 129003_final: 10886	11893	2
2023-09-13 at 16:53:23 | INFO | Added overlapping amplicon for 129003_final: 11703	12731	1
2023-09-13 at 16:53:23 | INFO | Added overlapping amplicon for 129003_final: 12541	13568	2
2023-09-13 at 16:53:24 | INFO | Added overlapping amplicon for 129003_final: 13415	14442	1
2023-09-13 at 16:53:24 | INFO | Added overlapping amplicon for 129003_final: 14225	15238	2
2023-09-13 at 16:53:24 | INFO | Added overlapping amplicon for 129003_final: 15034	16054	1
2023-09-13 at 16:53:24 | INFO | Added overlapping amplicon for 129003_final: 15830	16842	2
2023-09-13 at 16:53:24 | INFO | Added overlapping amplicon for 129003_final: 16688	17682	1
2023-09-13 at 16:53:24 | INFO | Added overlapping amplicon for 129003_final: 17510	18522	2
2023-09-13 at 16:53:24 | INFO | Added overlapping amplicon for 129003_final: 17730	18735	1
2023-09-13 at 16:53:24 | INFO | Writting output files
