2024-01-12 at 14:45:59 | INFO | Creating the Mismatch Database
2024-01-12 at 14:47:57 | INFO | Created: pan-ebola-1000-0.005/work/mismatch.db
2024-01-12 at 14:48:07 | INFO | Read in MSA: all-ebola.align	seqs:2752	cols:21142
2024-01-12 at 15:02:55 | DEBUG | FKmer: 18	WalksOut
2024-01-12 at 15:02:55 | DEBUG | FKmer: 19	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 20	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 21	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 22	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 23	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 24	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 25	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 26	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 27	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 28	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 29	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 30	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 31	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 32	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 33	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 34	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 35	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 36	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 37	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 38	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 39	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 40	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 41	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 42	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 43	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 44	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 45	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 46	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 47	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 48	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 49	ContainsInvalidBase
