2023-09-13 at 16:44:23 | INFO | Creating the Mismatch Database
2023-09-13 at 16:44:23 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/bf/2f845acac3d7bce4899f6f981c715b/fushun-laodelphax-striatellus-flavivirus-1--2905433/work/mismatch.db
2023-09-13 at 16:44:23 | INFO | Read in MSA: 2905433_final	seqs:1	cols:22293
2023-09-13 at 16:44:28 | INFO | 2905433_final: digested to 13169 FKmers and 13526 RKmers
2023-09-13 at 16:48:43 | INFO | 2905433_final: Generated 1613557 possible amplicons
2023-09-13 at 16:48:43 | INFO | Added first amplicon for 2905433_final: 0	1022	1
2023-09-13 at 16:48:43 | INFO | Added overlapping amplicon for 2905433_final: 867	1890	2
2023-09-13 at 16:48:43 | INFO | Added overlapping amplicon for 2905433_final: 1741	2758	1
2023-09-13 at 16:48:43 | INFO | Added overlapping amplicon for 2905433_final: 2604	3631	2
2023-09-13 at 16:48:43 | INFO | Added overlapping amplicon for 2905433_final: 3466	4496	1
2023-09-13 at 16:48:43 | INFO | Added overlapping amplicon for 2905433_final: 4329	5353	2
2023-09-13 at 16:48:43 | INFO | Added overlapping amplicon for 2905433_final: 5197	6226	1
2023-09-13 at 16:48:44 | INFO | Added overlapping amplicon for 2905433_final: 6071	7088	2
2023-09-13 at 16:48:44 | INFO | Added overlapping amplicon for 2905433_final: 6923	7952	1
2023-09-13 at 16:48:44 | INFO | Added overlapping amplicon for 2905433_final: 7793	8822	2
2023-09-13 at 16:48:44 | INFO | Added overlapping amplicon for 2905433_final: 8667	9691	1
2023-09-13 at 16:48:44 | INFO | Added overlapping amplicon for 2905433_final: 9530	10555	2
2023-09-13 at 16:48:44 | INFO | Added overlapping amplicon for 2905433_final: 10401	11429	1
2023-09-13 at 16:48:45 | INFO | Added overlapping amplicon for 2905433_final: 11279	12306	2
2023-09-13 at 16:48:45 | INFO | Added overlapping amplicon for 2905433_final: 12143	13173	1
2023-09-13 at 16:48:45 | INFO | Added overlapping amplicon for 2905433_final: 13010	14036	2
2023-09-13 at 16:48:45 | INFO | Added overlapping amplicon for 2905433_final: 13870	14903	1
2023-09-13 at 16:48:45 | INFO | Added overlapping amplicon for 2905433_final: 14734	15758	2
2023-09-13 at 16:48:45 | INFO | Added overlapping amplicon for 2905433_final: 15598	16623	1
2023-09-13 at 16:48:46 | INFO | Added overlapping amplicon for 2905433_final: 16425	17458	2
2023-09-13 at 16:48:46 | INFO | Added overlapping amplicon for 2905433_final: 17255	18284	1
2023-09-13 at 16:48:46 | INFO | Added overlapping amplicon for 2905433_final: 18128	19155	2
2023-09-13 at 16:48:46 | INFO | Added overlapping amplicon for 2905433_final: 18997	20024	1
2023-09-13 at 16:48:46 | INFO | Added overlapping amplicon for 2905433_final: 19847	20871	2
2023-09-13 at 16:48:46 | INFO | Added overlapping amplicon for 2905433_final: 20703	21716	1
2023-09-13 at 16:48:47 | INFO | Added overlapping amplicon for 2905433_final: 21219	22242	2
2023-09-13 at 16:48:47 | INFO | Writting output files
