2023-11-09 at 15:57:57 | INFO | Creating the Mismatch Database
2023-11-09 at 15:58:17 | INFO | Created: /Users/kentcg/schemes/mers/mers-400/work/mismatch.db
2023-11-09 at 15:58:18 | INFO | Read in MSA: MERS_Cov_all	seqs:308	cols:30125
2023-11-09 at 15:59:27 | INFO | MERS_Cov_all: digested to 13308 FKmers and 12738 RKmers
2023-11-09 at 15:59:41 | INFO | MERS_Cov_all: Generated 472067 possible amplicons
2023-11-09 at 15:59:41 | INFO | Added first amplicon for MERS_Cov_all: 145	610	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 507	969	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 858	1323	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 1225	1684	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 1610	2075	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 1986	2447	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 2363	2828	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 2735	3200	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 3092	3554	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 3382	3843	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 3736	4195	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 4103	4560	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 4448	4905	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 4804	5270	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 5179	5633	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 5550	6023	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 5930	6382	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 6296	6742	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 6655	7122	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 7023	7486	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 7413	7884	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 7784	8255	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 8165	8634	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 8552	8992	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 8911	9372	1
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 9285	9758	2
2023-11-09 at 15:59:41 | INFO | Added overlapping amplicon for MERS_Cov_all: 9662	10119	1
2023-11-09 at 15:59:42 | INFO | Added overlapping amplicon for MERS_Cov_all: 10009	10456	2
2023-11-09 at 15:59:42 | INFO | Added overlapping amplicon for MERS_Cov_all: 10372	10834	1
2023-11-09 at 15:59:42 | INFO | Added overlapping amplicon for MERS_Cov_all: 10757	11214	2
2023-11-09 at 15:59:42 | INFO | Added overlapping amplicon for MERS_Cov_all: 11117	11590	1
2023-11-09 at 15:59:42 | INFO | Added overlapping amplicon for MERS_Cov_all: 11454	11918	2
