2024-02-21 at 15:41:00 | INFO | Creating the Mismatch Database
2024-02-21 at 15:41:12 | INFO | Created: artic-measles-400-3/work/mismatch.db
2024-02-21 at 15:41:13 | WARNING | WARNING: Having a '/' in the chromname NC_001498.1/115894/1-15894 will cause issues with figure generation bedfile output. Parsing chromname NC_001498.1/115894/1-15894 -> NC_001498.1
2024-02-21 at 15:41:13 | INFO | Read in MSA: all_genomes.align.ds.align.repaired	seqs:376	cols:15944
2024-02-21 at 15:41:46 | DEBUG | FKmer: 18: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 19: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 20: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 21: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 22: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 23: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 24: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 25: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 26: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 27	DimerFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 28	GapOnSetBase
2024-02-21 at 15:41:46 | DEBUG | FKmer: 29	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 30	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 31: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 32: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 33: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 34: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 35: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 36: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 37	LowGC
2024-02-21 at 15:41:46 | DEBUG | FKmer: 38: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 39	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 40	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 41	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 42	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 43	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 44	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 45	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 46	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 47	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 48	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 49	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 50	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 51	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 52	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 53	LowGC
2024-02-21 at 15:41:46 | DEBUG | FKmer: 54	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 55	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 56	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 57	LowGC
2024-02-21 at 15:41:46 | DEBUG | FKmer: 58	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 59	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 60	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 61	LowGC
2024-02-21 at 15:41:46 | DEBUG | FKmer: 62	LowGC
2024-02-21 at 15:41:46 | DEBUG | FKmer: 63: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 64	LowGC
2024-02-21 at 15:41:46 | DEBUG | FKmer: 65	LowGC
2024-02-21 at 15:41:46 | DEBUG | FKmer: 66: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 67: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 68: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 69: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 70: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 71	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 72	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 73	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 74	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 75	LowGC
2024-02-21 at 15:41:46 | DEBUG | FKmer: 76	LowGC
2024-02-21 at 15:41:46 | DEBUG | FKmer: 77	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 78	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 79	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 80	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 81	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 82	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 83	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 84	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 85	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 86: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 87: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 88	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 89	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 90	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 91	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 92	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 93	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 94	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 95: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 96: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 97: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 98: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 99: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 100: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 101: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 102: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 103: AllPass
2024-02-21 at 15:41:46 | DEBUG | FKmer: 104	DimerFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 105	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 106	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 107	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 108	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 109	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 110	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 111	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 112	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 113	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 114	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 115	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 116	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 117	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 118	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 119	HairpinFail
2024-02-21 at 15:41:46 | DEBUG | FKmer: 120	HairpinFail
