2023-09-13 at 16:49:00 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:02 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/2d/561d3f4796725b6aef557eafefc786/quang-binh-virus--643132/work/mismatch.db
2023-09-13 at 16:49:02 | INFO | Read in MSA: 643132_final	seqs:11	cols:11003
2023-09-13 at 16:49:07 | INFO | 643132_final: digested to 1039 FKmers and 1135 RKmers
2023-09-13 at 16:49:12 | INFO | 643132_final: Generated 18926 possible amplicons
2023-09-13 at 16:49:12 | INFO | Added first amplicon for 643132_final: 42	1067	1
2023-09-13 at 16:49:12 | INFO | Added overlapping amplicon for 643132_final: 738	1765	2
2023-09-13 at 16:49:12 | INFO | Added overlapping amplicon for 643132_final: 1595	2476	1
2023-09-13 at 16:49:12 | INFO | Added overlapping amplicon for 643132_final: 2311	3290	2
2023-09-13 at 16:49:13 | INFO | Added overlapping amplicon for 643132_final: 3085	4012	1
2023-09-13 at 16:49:13 | INFO | Added overlapping amplicon for 643132_final: 3752	4743	2
2023-09-13 at 16:49:13 | INFO | Added overlapping amplicon for 643132_final: 4485	5511	1
2023-09-13 at 16:49:13 | INFO | Added overlapping amplicon for 643132_final: 5358	6327	2
2023-09-13 at 16:49:13 | INFO | Added overlapping amplicon for 643132_final: 6003	6947	1
2023-09-13 at 16:49:13 | INFO | Added overlapping amplicon for 643132_final: 6797	7769	2
2023-09-13 at 16:49:13 | INFO | Added overlapping amplicon for 643132_final: 7595	8498	1
2023-09-13 at 16:49:13 | INFO | Added overlapping amplicon for 643132_final: 8234	9193	2
2023-09-13 at 16:49:13 | INFO | Added overlapping amplicon for 643132_final: 9035	10052	1
2023-09-13 at 16:49:14 | INFO | Added overlapping amplicon for 643132_final: 9361	10381	2
2023-09-13 at 16:49:14 | INFO | Writting output files
