2023-09-13 at 16:55:53 | INFO | Creating the Mismatch Database
2023-09-13 at 16:55:54 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/c2/d720c049a6acb483c6d60612db3ede/ebola-virus--1570291/work/mismatch.db
2023-09-13 at 16:55:54 | INFO | Read in MSA: 1570291_final	seqs:4	cols:18959
2023-09-13 at 16:56:01 | INFO | 1570291_final: digested to 8746 FKmers and 9137 RKmers
2023-09-13 at 16:57:46 | INFO | 1570291_final: Generated 817028 possible amplicons
2023-09-13 at 16:57:47 | INFO | Added first amplicon for 1570291_final: 13	1041	1
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 859	1882	2
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 1705	2694	1
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 2544	3572	2
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 3398	4425	1
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 4240	5257	2
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 5105	6138	1
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 5898	6922	2
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 6744	7767	1
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 7599	8626	2
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 8399	9426	1
2023-09-13 at 16:57:47 | INFO | Added overlapping amplicon for 1570291_final: 9272	10298	2
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 10028	11042	1
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 10869	11890	2
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 11674	12665	1
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 12520	13496	2
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 13318	14348	1
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 14115	15113	2
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 14871	15889	1
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 15668	16699	2
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 16445	17471	1
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 17195	18184	2
2023-09-13 at 16:57:48 | INFO | Added overlapping amplicon for 1570291_final: 17910	18927	1
2023-09-13 at 16:57:49 | INFO | Writting output files
