2023-09-13 at 16:52:00 | INFO | Creating the Mismatch Database
2023-09-13 at 16:52:00 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/4b/ffde220699b25288f93ed18dbe2710/yokose-virus--64294/work/mismatch.db
2023-09-13 at 16:52:00 | INFO | Read in MSA: 64294_final	seqs:2	cols:10865
2023-09-13 at 16:52:02 | INFO | 64294_final: digested to 3684 FKmers and 3981 RKmers
2023-09-13 at 16:52:44 | INFO | 64294_final: Generated 243993 possible amplicons
2023-09-13 at 16:52:44 | INFO | Added first amplicon for 64294_final: 42	1038	1
2023-09-13 at 16:52:44 | INFO | Added overlapping amplicon for 64294_final: 886	1912	2
2023-09-13 at 16:52:44 | INFO | Added overlapping amplicon for 64294_final: 1752	2777	1
2023-09-13 at 16:52:44 | INFO | Added overlapping amplicon for 64294_final: 2625	3655	2
2023-09-13 at 16:52:44 | INFO | Added overlapping amplicon for 64294_final: 3493	4518	1
2023-09-13 at 16:52:44 | INFO | Added overlapping amplicon for 64294_final: 4345	5373	2
2023-09-13 at 16:52:44 | INFO | Added overlapping amplicon for 64294_final: 5202	6230	1
2023-09-13 at 16:52:44 | INFO | Added overlapping amplicon for 64294_final: 6072	7075	2
2023-09-13 at 16:52:45 | INFO | Added overlapping amplicon for 64294_final: 6904	7933	1
2023-09-13 at 16:52:45 | INFO | Added overlapping amplicon for 64294_final: 7774	8804	2
2023-09-13 at 16:52:45 | INFO | Added overlapping amplicon for 64294_final: 8641	9656	1
2023-09-13 at 16:52:45 | INFO | Added overlapping amplicon for 64294_final: 9476	10485	2
2023-09-13 at 16:52:45 | INFO | Added overlapping amplicon for 64294_final: 9759	10779	1
2023-09-13 at 16:52:45 | INFO | Writting output files
