2024-03-21 at 15:37:35 | INFO | Creating the Mismatch Database
2024-03-21 at 15:37:41 | INFO | Created: hav-400-2/work/mismatch.db
2024-03-21 at 15:37:42 | INFO | Read in MSA: all.align	seqs:355	cols:8267
2024-03-21 at 15:40:28 | DEBUG | FKmer: 18: AllPass
2024-03-21 at 15:40:28 | DEBUG | FKmer: 19	GapOnSetBase
2024-03-21 at 15:40:28 | DEBUG | FKmer: 20	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 21	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 22	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 23	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 24	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 25	GapOnSetBase
2024-03-21 at 15:40:28 | DEBUG | FKmer: 26	GapOnSetBase
2024-03-21 at 15:40:28 | DEBUG | FKmer: 27	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 28	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 29	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 30	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 31	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 32	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 33	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 34	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 35	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 36	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 37	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 38	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 39	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 40	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 41	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 42	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 43	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 44	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 45	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 46	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 47	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 48	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 49	HighGC
2024-03-21 at 15:40:28 | DEBUG | FKmer: 50	HighGC
